,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,feedback,human,highacc
192,12,7,9,8,9,8,5,9,11,6,7,12,12,7,9,11,True,False,True
193,5,7,12,10,11,7,10,13,8,11,13,10,8,8,10,7,True,False,True
194,7,13,6,9,10,11,8,10,6,13,6,11,9,10,9,9,True,False,True
195,9,7,10,9,8,8,11,10,6,8,10,8,7,7,9,12,True,False,True
196,11,12,9,12,11,12,11,11,7,13,7,6,9,12,8,4,True,False,True
197,13,11,7,12,10,7,8,11,10,9,10,13,9,8,8,12,True,False,True
198,11,6,6,8,8,5,9,9,7,6,6,5,10,7,6,8,True,False,True
199,4,7,8,10,9,7,10,11,7,7,7,9,8,6,8,12,True,False,True
200,5,9,5,13,3,8,9,8,9,6,5,8,7,9,6,8,True,False,True
201,11,6,7,6,10,7,9,6,12,8,9,8,12,6,8,5,True,False,True
202,3,9,5,4,4,9,3,7,8,9,5,8,2,9,4,4,True,False,True
203,8,11,11,5,5,11,10,5,5,10,12,7,6,9,10,6,True,False,True
